Go.	Va !
She's my type.	Elle est mon genre.
Should I come?	Devrais-je venir ?
Should I wait?	Devrais-je attendre ?
Show it to me.	Montrez-le-moi.
Show it to me.	Montrez-la-moi.
Show it to us.	Montre-le-nous !
Show yourself.	Montre-toi !
Show yourself.	Montrez-vous !
Shut the door.	Fermez la porte.
Shut the door.	Ferme la porte.
Shut the door.	Ferme la porte !
Shut the door.	Fermez la porte !
Sit near here.	Assieds-toi près d'ici !
Speak clearly.	Parle distinctement.
Speak clearly.	Parle clairement.
Speak quietly.	Parle doucement.
Speak quietly.	Parle à voix basse.
Start running.	Commence à courir.
Start running.	Commencez à courir.
Start the car.	Démarre la voiture !
Start the car.	Démarrez la voiture !
Start writing.	Commence à écrire.
Start writing.	Commencez à écrire.
Stay a moment.	Reste un moment !
Stay a moment.	Restez un moment !
Stay positive.	Reste positif !
Stay positive.	Reste positive !
Stay together.	Restez ensemble.
Stir the soup.	Mélange la soupe.
Stir the soup.	Touille la soupe !
Stir the soup.	Touillez la soupe !
Stop frowning.	Arrête de froncer les sourcils !
Stop shooting.	Arrête de tirer.
Stop shooting.	Arrêtez de tirer.
Stop that now.	Arrête ça maintenant.
Stop that now.	Arrêtez ça maintenant.
Stop worrying.	Arrête de t'inquiéter.
Stop worrying.	Arrêtez de vous inquiéter.
Straighten up.	Tiens-toi droit.
Straighten up.	Redresse-toi.
Stuff happens.	Des trucs arrivent.
Suit yourself.	Fais comme tu veux.
Take a breath.	Inspire !
Take a breath.	Inspirez !
Take a chance.	Essaie !
Take a chance.	Essayez !
Take a cookie.	Prends un biscuit !
Take a number.	Prends un numéro !
Take a number.	Prenez un numéro !
Take a shower.	Prends une douche !
Take a shower.	Prenez une douche !
Thanks a heap.	Des tonnes de mercis !
Thanks anyway.	Merci tout de même.
That meant no.	Ça voulait dire non.
That meant no.	Ça signifiait non.
That suits me.	Ça m'arrange.
That was cool.	C'était super.
That was cool.	C'était cool.
That was easy.	C'était facile.
That was mean.	C'était méchant.
That was ours.	C'était le nôtre.
That was ours.	C'était la nôtre.
That was ours.	C'était à nous.
That's a book.	C'est un livre.
That's a copy.	C'est une copie.
That's a doll.	C'est une poupée.
That's a fact.	C'est un fait.
That's a fake.	C'est un faux.
That's a joke.	C'est une blague.
That's a joke.	Il s'agit d'une blague.
That's a myth.	Il s'agit d'un mythe.
That's a myth.	C'est un mythe.
That's a plan.	C'est un plan.
That's a plan.	Voilà un plan.
That's a tree.	C’est un arbre.
That's clever.	C'est astucieux.
That's enough.	Ça suffit !
That's enough.	C'en est assez !
That's enough.	Arrête !
That's enough.	Cela suffit.
That's enough.	Ça suffit.
That's enough.	C'est suffisant.
That's lovely.	C'est adorable.
That's lovely.	C'est ravissant.
That's lovely.	C'est charmant.
That's my boy.	C'est mon garçon.
That's my car.	C'est ma voiture.
That's my car.	C'est ma bagnole.
That's my cat.	C'est mon chat.
That's my cat.	C'est ma chatte.
That's my cat.	Il s'agit de mon chat.
That's my dog.	C'est mon chien.
That's normal.	C'est normal.
That's simple.	C'est simple.
That's so rad.	C'est tellement dément !
That's stupid.	C'est bête.
That's stupid.	C'est con.
That's stupid.	C'est idiot.
That's stupid.	C'est stupide.
That's unfair.	C'est injuste.
That's untrue.	C'est faux.
The girls won.	Les filles gagnèrent.
The girls won.	Les filles l'emportèrent.
The girls won.	Les filles l'ont emporté.
The girls won.	Les filles ont gagné.
There is hope.	Il y a de l'espoir.
There you are.	Tu y es !
There you are.	Vous y êtes !
There you are.	T'y voici.
There you are.	Vous y voici.
They all died.	Ils sont tous morts.
They all died.	Elles sont toutes mortes.
They all knew.	Ils savaient tous.
They all knew.	Elles savaient toutes.
They all know.	Ils savent tous.
They all know.	Elles savent toutes.
They are here.	Ils sont là.
They canceled.	Ils ont annulé.
They canceled.	Elles ont annulé.
They embraced.	Ils se sont embrassés.
They found it.	Ils l'ont trouvé.
They found it.	Elles l'ont trouvé.
They found it.	Ils le trouvèrent.
They found it.	Elles le trouvèrent.
They found us.	Ils nous ont trouvés.
They found us.	Ils nous ont trouvées.
They found us.	Elles nous ont trouvés.
They found us.	Elles nous ont trouvées.
They know him.	Ils le connaissent.
They look sad.	Ils ont l'air triste.
They look sad.	Elles ont l'air triste.
They love Tom.	Ils aiment Tom.
They love Tom.	Elles aiment Tom.
They need him.	Ils ont besoin de lui.
They need him.	Elles ont besoin de lui.
They said yes.	Elles ont dit oui.
They said yes.	Ils ont dit oui.
They saved us.	Ils nous ont sauvés.
They saved us.	Elles nous ont sauvés.
They're Asian.	Ils sont asiatiques.
They're Asian.	Elles sont asiatiques.
They're alive.	Ils sont en vie.
They're angry.	Ils sont en colère.
They're angry.	Elles sont en colère.
They're armed.	Ils sont armés.
They're armed.	Elles sont armées.
They're awake.	Ils sont éveillés.
They're awake.	Elles sont éveillées.
They're brave.	Ils sont courageux.
They're brave.	Elles sont courageuses.
They're brave.	Ils n'ont pas froid aux yeux.
They're broke.	Ils sont fauchés.
They're broke.	Elles sont fauchées.
They're clean.	Ils sont propres.
They're clean.	Elles sont propres.
They're crazy.	Ils sont fous.
They're crazy.	Elles sont folles.
They're drunk.	Ils sont saouls.
They're drunk.	Elles sont saoules.
They're dying.	Ils sont en train de mourir.
They're dying.	Elles sont en train de mourir.
They're early.	Ils sont en avance.
They're early.	Elles sont en avance.
They're happy.	Elles sont heureuses.
They're lying.	Ils mentent.
They're lying.	Elles mentent.
They're small.	Ils sont petits.
They're small.	Elles sont petites.
They're spies.	Ce sont des espions.
They're spies.	Ce sont des espionnes.
They're there.	Ils sont là.
They're tired.	Ils sont fatigués.
They're tired.	Elles sont fatiguées.
They're wrong.	Ils ont tort !
This is Italy.	C'est l'Italie.
This is Japan.	Ceci est le Japon.
This is a DVD.	C'est un DVD.
This is a DVD.	Ceci est un DVD.
This is a dog.	C'est un chien.
This is a map.	Ceci est une carte.
This is a pen.	C'est un stylo à encre.
This is a pun.	C’est un jeu de mots.
This is a wig.	C'est une perruque.
This is awful.	C'est affreux.
This is cheap.	C'est bon marché.
This is crazy.	C'est fou.
This is crazy.	C'est dingue.
This is funny.	C'est drôle.
This is great.	C'est super.
This is my CD.	C'est mon CD.
This is silly.	C'est idiot !
This is sweet.	C'est gentil.
This is sweet.	C'est sucré.
This is weird.	C'est bizarre.
This is yours.	C'est le tien.
This is yours.	C'est le vôtre.
This is yours.	Il s'agit du tien.
This is yours.	Il s'agit du vôtre.
Tie your shoe.	Noue ta chaussure.
Tie your shoe.	Noue ton lacet.
Tie your shoe.	Noue ton lacet de chaussure.
Tie your shoe.	Attache ton lacet.
Tie your shoe.	Attache ton lacet de chaussure.
Tie your shoe.	Nouez votre lacet de chaussure.
Tie your shoe.	Nouez votre lacet.
Tie your shoe.	Attachez votre lacet.
Tie your shoe.	Attachez votre lacet de chaussure.
Tie your shoe.	Nouez votre chaussure.
Time is money.	Le temps, c'est de l'argent.
Tom can do it.	Tom peut le faire.
Tom can't ski.	Tom ne sait pas skier.
Tom disagreed.	Tom était en désaccord.
Tom disagreed.	Tom n'était pas d'accord.
Tom got stuck.	Tom est resté coincé.
Tom has a dog.	Tom a un chien.
Tom hesitated.	Tom a hésité.
Tom hesitated.	Tom hésita.
Tom is OK now.	Thomas est OK maintenant.
Tom is boring.	Tom est ennuyeux.
Tom is chubby.	Tom est dodu.
Tom is chubby.	Tom est grassouillet.
Tom is eating.	Tom est en train de manger.
Tom is guilty.	Tom est coupable.
Tom is hiding.	Tom se cache.
Tom is in bed.	Tom est au lit.
Tom is voting.	Tom vote.
Tom is voting.	Tom est en train de voter.
Tom is vulgar.	Tom est vulgaire.
Tom is vulgar.	Tom est grossier.
Tom just died.	Tom vient de mourir.
Tom let us go.	Tom nous a laissé partir.
Tom let us go.	Tom nous laissa partir.
Tom lost hope.	Tom a perdu espoir.
Tom loves you.	Tom vous aime.
Tom missed it.	Ça manquait à Tom.
Tom overslept.	Tom s'est réveillé trop tard.
Tom runs fast.	Tom court vite.
Tom walked in.	Tom entra.
Tom was alive.	Tom était vivant.
Tom was cruel.	Tom était cruel.
Tom was cruel.	Tom a été cruel.
Tom was dying.	Tom était en train de mourir.
Tom was scary.	Tom était effrayant.
Tom was third.	Tom était troisième.
Tom was third.	Tom a été troisième.
Tom was upset.	Tom était contrarié.
Tom went pale.	Tom a pâli.
Tom won't eat.	Tom ne mangera pas.
Tom's adopted.	Tom est adopté.
Tom's arrived.	Tom est arrivé.
Tom's cooking.	Tom cuisine.
Tom's excited.	Tom est excité.
Tom's healthy.	Tom est en bonne santé.
Tom's helping.	Tom aide.
Tom's married.	Tom est marié.
Tom's unarmed.	Tom n’est pas armé.
Tom's violent.	Tom est violent.
Tom's working.	Tom est en train de travailler.
Tom's wounded.	Tom est blessé.
Wait a minute.	Attends une minute.
Wait a minute.	Un instant...
Wait a second.	Attends une seconde !
Wait a second.	Attendez une seconde !
Wait till six.	Attends jusqu'à six heures.
Wait till six.	Attendez jusqu'à six heures.
Wait till six.	Attends jusqu'à dix-huit heures.
Wait till six.	Attendez jusqu'à dix-huit heures.
Walk this way.	Venez par ici !
Walk this way.	Par ici !
Was I snoring?	Étais-je en train de ronfler ?
Was Tom there?	Tom était-il là ?
Was that a no?	Était-ce un non ?
Watch closely.	Regarde de près !
Watch closely.	Regardez de près !
Watch my back.	Surveille mes arrières !
We admire you.	Nous t'admirons.
We all agreed.	Nous sommes tous tombés d'accord.
We all agreed.	Nous sommes toutes tombées d'accord.
We all change.	Nous changeons tous.
We all change.	Nous changeons toutes.
We are at war.	Nous sommes en guerre.
We are doomed.	Nous sommes condamnés.
We can try it.	Nous pouvons essayer.
We can try it.	Nous pouvons l'essayer.
We can't fail.	Nous ne pouvons pas échouer.
We can't lose.	Nous ne pouvons par perdre.
We caught you.	Nous t'avons attrapé.
We caught you.	Nous t'avons attrapée.
We caught you.	Nous vous avons attrapé.
We caught you.	Nous vous avons attrapés.
We caught you.	Nous vous avons attrapée.
We caught you.	Nous vous avons attrapées.
We could read.	Nous pourrions lire.
We could read.	Nous pouvions lire.
We could wait.	Nous pourrions attendre.
We could walk.	Nous pourrions marcher.
We don't know.	Nous ne savons pas.
We have to go.	Il nous faut partir.
We have to go.	Il nous faut y aller.
We kept quiet.	Nous restâmes silencieux.
We meant well.	Nos intentions étaient bonnes.
We met before.	Nous nous sommes rencontrés auparavant.
We met before.	Nous nous sommes rencontrées auparavant.
We missed you.	Tu nous as manqué.
We missed you.	Vous nous avez manqué.
We must check.	Il nous faut vérifier.
We must focus.	Il nous faut nous focaliser.
We must hurry.	Il nous faut nous dépêcher.
We must leave.	Il nous faut partir.
We must speak.	Il nous faut parler.
We must speak.	Il nous faut nous parler.
We need a car.	Nous avons besoin d'une voiture.
We need a car.	Il nous faut une voiture.
We need a map.	Il nous faut une carte.
We need money.	Nous avons besoin d'argent.
We need proof.	Il nous faut des preuves.
We need rules.	Il nous faut des règles.
We need sleep.	Il nous faut du sommeil.
We need to go.	Nous devons y aller.
We need to go.	Nous devons partir.
We need to go.	Il nous faut partir.
We need to go.	Il nous faut y aller.
We need to go.	Il nous faut nous en aller.
We need to go.	Nous devons nous en aller.
We need tools.	Nous avons besoin d'outils.
We need water.	Il nous faut de l'eau.
We need water.	Nous avons besoin d'eau.
We never lose.	Nous ne perdons jamais.
We should eat.	Nous devrions manger.
We took a cab.	Nous avons pris un taxi.
We understand.	Nous comprenons.
We want candy.	Nous voulons des bonbons.
We want peace.	Nous voulons la paix.
We want to go.	Nous voulons nous en aller.
We want to go.	Nous voulons y aller.
We wanted you.	Nous te voulions.
We wanted you.	Nous vous voulions.
We were bored.	Nous nous ennuyions.
We were lucky.	Nous étions chanceux.
We were right.	Nous avions raison.
We were right.	Nous eûmes raison.
We will fight.	Nous combattrons.
We wonder why.	On se demande pourquoi.
We'll all die.	Nous mourrons tous !
We'll both go.	Nous irons tous les deux.
We'll explain.	Nous expliquerons.
We'll find it.	On va le trouver.
We'll find it.	On va la trouver.
We'll rebuild.	Nous reconstruirons.
We'll respond.	Nous allons répondre.
We'll succeed.	Nous réussirons.
We'll survive.	Nous survivrons.
We're a group.	Nous formons un groupe.
We're anxious.	Nous sommes anxieux.
We're ashamed.	Nous avons honte.
We're baffled.	Nous sommes perplexes.
We're careful.	Nous sommes prudents.
We're careful.	Nous sommes prudentes.
We're certain.	Nous sommes certains.
We're certain.	Nous sommes certaines.
We're cousins.	Nous sommes cousines.
We're dancing.	Nous sommes en train de danser.
We're dieting.	Nous sommes au régime.
We're engaged.	Nous sommes fiancés.
We're fasting.	Nous faisons la diète.
We're friends.	Nous sommes amis.
We're friends.	Nous sommes amies.
We're in love.	Nous nous aimons.
We're in love.	Nous sommes amoureux.
We're in love.	Nous sommes amoureuses.
We're in luck.	Nous sommes veinards.
We're in luck.	Nous sommes veinardes.
We're in pain.	Nous souffrons.
We're in sync.	Nous sommes synchronisés.
We're in sync.	Nous sommes synchronisées.
We're in town.	Nous sommes en ville.
We're jealous.	Nous sommes jalouses.
We're kidding.	Nous plaisantons.
We're married.	Nous sommes mariés.
We're not fit.	Nous ne sommes pas en forme.
We're not mad.	Nous ne sommes pas fous.
We're not mad.	Nous ne sommes pas folles.
We're not old.	Nous ne sommes pas vieux.
We're not old.	Nous ne sommes pas vieilles.
We're reading.	Nous sommes en train de lire.
We're relaxed.	Nous sommes détendus.
We're relaxed.	Nous sommes détendues.
We're serious.	Nous sommes sérieux.
We're serious.	Nous sommes sérieuses.
We're shocked.	Nous sommes choqués.
We're shocked.	Nous sommes choquées.
We're sincere.	Nous sommes sincères.
We're sinking.	Nous coulons.
We're sinking.	Nous sommes en train de couler.
We're sloshed.	Nous sommes bourrés.
We're sloshed.	Nous sommes bourrées.
We're smashed.	Nous sommes bourrés.
We're smashed.	Nous sommes bourrées.
We're special.	Nous sommes spéciaux.
We're stalled.	Nous sommes à l'arrêt.
We're starved.	Nous sommes affamés.
We're starved.	Nous sommes affamées.
We're staying.	Nous restons.
We're stuffed.	Nous sommes gavés.
We're stuffed.	Nous sommes gavées.
We're stunned.	Nous sommes sidérés.
We're stunned.	Nous sommes sidérées.
We're through.	Nous avons terminé.
We're through.	Nous en avons fini.
We're too old.	Nous sommes trop vieux.
We're touched.	Nous sommes touchés.
We're touched.	Nous sommes touchées.
We're trapped!	Nous sommes piégés !
We're trapped!	Nous sommes piégées !
We're trapped.	Nous sommes piégés.
We're trapped.	Nous sommes piégées.
We're unhappy.	Nous ne sommes pas satisfaits.
We're unhappy.	Nous ne sommes pas satisfaites.
We're unlucky.	Nous sommes malchanceux.
We're unlucky.	Nous sommes malchanceuses.
We're useless.	Nous sommes inutiles.
We're waiting.	Nous sommes en train d'attendre.
We're wealthy.	Nous sommes riches.
We're winners.	Nous sommes des gagneurs.
We're winning.	Nous sommes en train de gagner.
We're working.	Nous sommes en train de travailler.
We're worried.	Nous nous faisons du souci.
We've arrived.	Nous sommes arrivés.
We've no time.	Nous n'avons pas le temps.
We've seen it.	Nous l'avons vu.
Were you busy?	Étais-tu occupée ?
Were you busy?	Étais-tu occupé ?
Were you busy?	Étiez-vous occupés ?
Were you busy?	Étiez-vous occupées ?
Were you shot?	T'a-t-on tiré dessus ?
Were you shot?	Vous a-t-on tiré dessus ?
What a bummer!	Quelle poisse !
What a fiasco!	Quel fiasco !
What a hassle!	Quelle histoire !
What a relief!	Quel soulagement !
What about us?	Qu'en est-il de nous ?
What an idiot!	Quel idiot.
What did I do?	Qu'ai-je fait ?
What do I get?	Qu'est-ce que j'y gagne ?
What happened?	Qu'est-ce qui s'est passé ?
What happened?	Que s'est-il passé ?
What is a UFO?	Qu'est-ce que c'est qu'un OVNI ?
What'll we do?	Que ferons-nous ?
Where are you?	Où es-tu ?
Where are you?	Où êtes-vous ?
Where is Mary?	Où est Marie ?
Where were we?	Où étions-nous ?
Where were we?	Où en étions-nous ?
Which is mine?	Lequel est le mien ?
Which is mine?	Laquelle est la mienne ?
Who hates you?	Qui te déteste ?
Who helps her?	Qui l'aide ?
Who hired you?	Qui t'a recruté ?
Who hired you?	Qui vous a recruté ?
Who hired you?	Qui t'a recrutée ?
Who hired you?	Qui vous a recrutée ?
Who hired you?	Qui vous a recrutés ?
Who hired you?	Qui vous a recrutées ?
Who is absent?	Qui est absent ?
Who said that?	Qui a dit cela ?
Who wants tea?	Qui veut du thé ?
Who's dieting?	Qui est au régime ?
Who's winning?	Qui gagne ?
Who's winning?	Qui l'emporte ?
Whose is this?	À qui est-ce ?
Will she come?	Viendra-t-elle ?
You all right?	Ça va ?
You all right?	Ça va bien ?
You all right?	Tu vas bien ?
You are crazy.	Tu es fou.
You are drunk!	Tu es bourré !
You are drunk!	Tu es saoul !
You are early.	Tu viens tôt.
You are early.	Vous êtes matinal.
You are early.	Vous êtes matinale.
You are early.	Tu es matinal.
You are early.	Tu es matinale.
You are early.	Tu es en avance.
You are early.	Vous êtes en avance.
You are lying.	Vous mentez.
You are lying.	Vous êtes en train de mentir.
You are lying.	Tu es en train de mentir.
You are sharp.	Tu es malin.
You are wrong.	Vous avez tort.
You are wrong.	Tu as tort.
You can do it.	Tu peux y arriver.
You can do it.	C'est bon, tu peux le faire.
You can do it.	Tu peux le faire.
You can do it.	Vous pouvez y arriver.
You have mail.	Tu as du courrier.
You have mail.	Vous avez du courrier.
You look busy.	Tu sembles occupé.
You look busy.	Tu as l'air occupé.
You look busy.	Vous avez l'air occupé.
You look busy.	Vous avez l'air occupée.
You look busy.	Vous avez l'air occupés.
You look busy.	Vous avez l'air occupées.
You look busy.	Tu as l'air occupée.
You look pale.	Tu as l'air pâle.
You look sick.	Tu as l'air malade.
You look sick.	Vous avez l'air malade.
You must come.	Tu dois venir.
You must come.	Vous devez venir.
You must stay.	Tu dois rester.
You must stay.	Vous devez rester.
You need this.	Tu as besoin de ça.
You needed me.	Tu avais besoin de moi.
You needed me.	Vous aviez besoin de moi.
You seem busy.	Vous semblez occupé.
You seem busy.	Vous semblez occupée.
You seem busy.	Tu sembles occupé.
You seem busy.	Tu sembles occupée.
You seem busy.	Vous semblez occupés.
You seem busy.	Vous semblez occupées.
You should go.	Tu devrais y aller.
You stay here.	Tu restes ici.
You stay here.	Vous restez ici.
You want this?	Veux-tu ceci ?
You want this?	Voulez-vous ceci ?
You were mine.	Tu étais à moi.
You work hard.	Tu travailles dur.
You work hard.	Vous travaillez dur.
You'd love it.	Tu adorerais ça.
You'll go far.	Tu iras loin.
You'll go far.	Vous irez loin.
You're a doll!	Tu es un amour !
You're a doll!	Vous êtes un amour !
You're a liar.	Tu es un menteur.
You're a liar.	Vous êtes un menteur.
You're a liar.	Vous êtes une menteuse.
You're a liar.	Tu es une menteuse.
You're a nerd.	Tu es un binoclard.
You're a snob.	Tu es snob.
You're a snob.	Vous êtes snob.
You're biased.	Tu es partiale.
You're biased.	Tu es partial.
You're boring.	Vous m'ennuyez.
You're boring.	Tu m'ennuies.
You're bright.	Tu es brillant.
You're bright.	Tu es brillante.
You're bright.	Vous êtes brillant.
You're bright.	Vous êtes brillante.
You're bright.	Vous êtes brillants.
You're bright.	Vous êtes brillantes.
You're clever.	Tu es malin.
You're clever.	Tu es maline.
You're clever.	Vous êtes malin.
You're clever.	Vous êtes maline.
You're clever.	Vous êtes malins.
You're clever.	Vous êtes malines.
You're crafty.	Vous êtes rusé.
You're crafty.	Tu es rusé.
You're crafty.	Tu es rusée.
You're crafty.	Vous êtes rusés.
You're crafty.	Vous êtes rusée.
You're crafty.	Vous êtes rusées.
You're crafty.	Tu es astucieux.
You're crafty.	Tu es astucieuse.
You're crafty.	Vous êtes astucieux.
You're crafty.	Vous êtes astucieuse.
You're creepy.	Tu es sinistre.
You're creepy.	Vous êtes sinistre.
You're creepy.	Vous êtes sinistres.
You're famous.	Tu es connu.
You're famous.	Tu es connue.
You're famous.	Vous êtes connu.
You're famous.	Vous êtes connus.
You're famous.	Vous êtes connue.
You're famous.	Vous êtes connues.
You're greedy.	Tu es avide.
You're greedy.	Vous êtes avide.
You're greedy.	Vous êtes avides.
You're grumpy.	Tu es bougon.
You're grumpy.	Tu es bougonne.
You're grumpy.	Tu es grognon.
You're grumpy.	Vous êtes bougon.
You're grumpy.	Vous êtes bougonne.
You're grumpy.	Vous êtes grognon.
You're insane.	Tu es dingue.
You're joking!	Tu plaisantes !
You're joking!	Vous plaisantez !
You're loaded.	T'es bourré.
You're loaded.	T'es bourrée.
You're loaded.	T'es plein de fric.
You're loaded.	T'es pleine de fric.
You're losing.	Tu es en train de perdre.
You're losing.	Vous êtes en train de perdre.
You're no fun.	Tu n'es pas drôle.
You're no fun.	Vous n'êtes pas drôle.
You're pretty.	Tu es jolie.
You're pretty.	Vous êtes jolie.
You're single.	Tu es célibataire.
You're single.	Vous êtes célibataire.
You're skinny.	Tu es maigrichonne.
You're skinny.	Vous êtes maigrichonne.
You're skinny.	Vous êtes maigrichonnes.
You're skinny.	Vous êtes maigrichon.
You're skinny.	Vous êtes maigrichons.
You're skinny.	Tu es maigrichon.
You're sleepy.	Tu es endormi.
You're sleepy.	Tu es endormie.
You're sleepy.	Vous êtes endormi.
You're sleepy.	Vous êtes endormis.
You're sleepy.	Vous êtes endormie.
You're sleepy.	Vous êtes endormies.
You're sneaky.	Tu es sournois.
You're sneaky.	Tu es sournoise.
You're sneaky.	Vous êtes sournois.
You're sneaky.	Vous êtes sournoise.
You're sneaky.	Vous êtes sournoises.
You're stupid.	Tu es idiote.
You're unfair.	Tu es injuste.
You've failed.	Tu as échoué.
You've failed.	Vous avez échoué.
A beer, please.	Une bière, s'il vous plaît !
A coke, please.	Un coca s'il vous plaît.
Act like a man.	Agis en homme.
Act like a man.	Agissez en homme.
Act like a man.	Conduis-toi en homme !
Ain't she cute?	N'est-elle pas mignonne ?
Allow me to go.	Permets-moi d'y aller !
Allow me to go.	Permettez-moi d'y aller !
Am I not right?	N'ai-je pas raison ?
Am I qualified?	Suis-je qualifié ?
Apples are red.	Les pommes sont rouges.
Are there kids?	Est-ce qu'il y a des enfants ?
Are there kids?	Y a-t-il des enfants ?
Are we friends?	Sommes-nous amis ?
Are we friends?	Sommes-nous amies ?
Are we leaving?	Partons-nous ?
Are we leaving?	Y allons-nous ?
Are we sinking?	Sommes-nous en train de couler ?
Are you afraid?	Avez-vous peur?
Are you coming?	Venez-vous ?
Are you coming?	Viens-tu ?
Are you crying?	Pleures-tu ?
Are you crying?	Pleurez-vous ?
Are you hiring?	Embauches-tu ?
Are you hiring?	Embauchez-vous ?
Are you hiring?	Recrutes-tu ?
Are you hiring?	Recrutez-vous ?
Are you honest?	Es-tu honnête ?
Are you honest?	Êtes-vous honnêtes ?
Are you honest?	Êtes-vous honnête ?
Are you hungry?	Avez-vous faim ?
Are you insane?	Tu es folle ?
Are you joking?	Vous plaisantez ?
Are you joking?	Tu plaisantes ?
Are you joking?	Est-ce que tu blagues ?
Are you lonely?	Te sens-tu seul ?
Are you lonely?	Te sens-tu seule ?
Are you lonely?	Vous sentez-vous seul ?
Are you lonely?	Vous sentez-vous seule ?
Are you lonely?	Êtes-vous esseulé ?
Are you lonely?	Êtes-vous esseulée ?
Are you lonely?	Es-tu esseulé ?
Are you lonely?	Es-tu esseulée ?
Are you single?	Es-tu seul ?
Are you sleepy?	Es-tu fatigué ?
Are you sleepy?	As-tu sommeil ?
Are you sleepy?	Avez-vous sommeil ?
Aren't you hot?	N'avez-vous pas chaud ?
Aren't you hot?	N'as-tu pas chaud ?
Autumn is here.	L'automne est là.
Be a good girl.	Sois une chic fille !
Be a good girl.	Soyez une chic fille !
Be nice to her.	Sois gentil avec elle.
Be nice to her.	Sois gentille avec elle.
Be nice to her.	Sois gentil avec elle !
Be nice to her.	Sois gentille avec elle !
Blow your nose.	Mouche-toi !
Boats can sink.	Les bateaux peuvent couler.
Both are alive.	Ils sont tous deux vivants.
Both are alive.	Elles sont toutes deux vivantes.
Bring a camera.	Apporte un appareil photo !
Bring a camera.	Apportez un appareil photo !
Bring a shovel.	Apporte une pelle !
Bring it to me.	Apportez-le-moi.
Buy me a drink.	Offre-moi un verre !
Buy me a drink.	Offre-moi un coup !
Buy me a drink.	Paie-moi un coup !
Buy me a drink.	Payez-moi un coup !
Buy me a drink.	Offrez-moi un coup !
Buy me a drink.	Offrez-moi un verre !
Call a plumber.	Appelle un plombier !
Call a plumber.	Appelez un plombier !
Calm down, son.	Calme-toi, mon fils !
Can I eat this?	Puis-je manger ceci ?
Can I go first?	Puis-je y aller en premier ?
Can I have one?	Puis-je en avoir un ?
Can I have one?	Puis-je en avoir une ?
Can I help you?	Puis-je t'aider ?
Can I help you?	Puis-je vous aider ?
Can I help you?	Puis-je t'aider ?
Can I join you?	Puis-je me joindre à toi ?
Can I join you?	Puis-je me joindre à vous ?
Can I kiss you?	Puis-je vous embrasser ?
Can I see that?	Puis-je voir ça ?
Can I see this?	Puis-je voir ça ?
Can I see this?	Puis-je voir ceci ?
Can I see, too?	Puis-je également voir ?
Can I sit down?	Puis-je m'asseoir ?
Can I sit here?	Puis-je m'asseoir ici ?
Can I touch it?	Puis-je y toucher ?
Can I touch it?	Puis-je le toucher ?
Can I touch it?	Puis-je la toucher ?
Can Tom see us?	Est-ce que Tom peut nous voir ?
Can we come in?	Pouvons-nous entrer ?
Can you juggle?	Sais-tu jongler ?
Can you juggle?	Savez-vous jongler ?
Can you see it?	Peux-tu le voir ?
Can you see it?	Pouvez-vous le voir ?
Cash is better.	De l'argent liquide, c'est mieux.
Catch the ball.	Attrape le ballon.
Catch the ball.	Attrape la balle.
Cats are smart.	Les chats sont malins.
Change is good.	Le changement est bénéfique.
Check that out.	Regardez ça.
Check this out.	Règle ça.
Check this out.	Vérifie ça.
Close the door.	Ferme la porte !
Close the door.	Fermez la porte !
Close the gate.	Ferme le portail.
Coffee, please.	Du café, je vous prie.
Coffee, please.	Du café, je te prie.
Come back here.	Reviens ici !
Come back here.	Revenez ici !
Come back home.	Reviens à la maison.
Come back home.	Revenez à la maison.
Come back home.	Rentre à la maison.
Come back soon.	Ne sois pas long.
Come down here.	Descends ici !
Come down here.	Descendez ici !
Contact my son.	Prenez contact avec mon fils !
Cows give milk.	Les vaches produisent du lait.
Cows give milk.	Les vaches donnent du lait.
Cut it in half.	Coupe-le en deux.
Did I break it?	L'ai-je cassé ?
Did I break it?	L'ai-je cassée ?
Did I break it?	L'ai-je brisé ?
Did I break it?	L'ai-je brisée ?
Did I hurt you?	Vous ai-je blessé ?
Did I hurt you?	T'ai-je blessé ?
Did I hurt you?	T'ai-je blessée ?
Did I hurt you?	Vous ai-je blessée ?
Did I hurt you?	T'ai-je fait mal ?
Did I hurt you?	Vous ai-je fait mal ?
Did I say that?	Ai-je dit cela ?
Did I wake you?	Vous ai-je réveillé ?
Did I wake you?	Vous ai-je réveillés ?
Did I wake you?	Vous ai-je réveillée ?
Did I wake you?	Vous ai-je réveillées ?
Did I wake you?	T'ai-je réveillé ?
Did I wake you?	T'ai-je réveillée ?
Did Tom buy it?	Tom l'a-t-il acheté ?
Did she say it?	L'a-t-elle dit ?
Did you forget?	As-tu oublié ?
Did you get it?	As-tu compris ?
Did you get it?	Avez-vous compris ?
Did you go out?	Tu es sortie ?
Did you go out?	Es-tu sorti ?
Did you go out?	Es-tu sortie ?
Did you go out?	Êtes-vous sorti ?
Did you go out?	Êtes-vous sortie ?
Did you go out?	Êtes-vous sortis ?
Did you go out?	Êtes-vous sorties ?
Did you say 30?	As-tu dit trente ?
Did you say 30?	Avez-vous dit trente ?
Did you see it?	L'as-tu vu ?
Did you see it?	L'as-tu vue ?
Did you see it?	L'as-tu vu ?
Did you see it?	L'avez-vous vu ?
Did you see it?	L'avez-vous vue ?
Dinner's ready.	Le dîner est prêt.
Do I annoy you?	Est-ce que je t'ennuie ?
